"Name","Season","GamesPlayed","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"DEN","2021-22",82,1639,778,60,80,123,35,82,39,0,0,2,0,0,12,1628
"TOR","2021-22",82,1607,745,106,107,76,60,90,32,0,0,1,0,0,13,1561
"WAS","2021-22",82,1545,816,68,81,72,42,105,32,0,0,1,0,0,17,1634
"SAC","2021-22",82,1552,754,97,87,106,42,125,27,0,0,0,0,0,9,1665
"NOP","2021-22",82,1612,745,83,83,126,46,104,30,0,0,1,0,0,16,1680
"PHI","2021-22",82,1590,784,73,66,77,51,74,22,0,0,1,0,0,15,1593
"BKN","2021-22",82,1670,803,88,94,103,25,89,43,0,0,5,0,0,13,1615
"SAS","2021-22",82,1483,788,60,104,89,35,109,37,0,0,4,0,0,10,1552
"UTA","2021-22",82,1547,665,84,117,109,26,77,10,0,0,4,0,0,21,1663
"PHX","2021-22",82,1633,797,97,74,118,20,105,21,0,0,4,0,0,25,1553
"ORL","2021-22",82,1612,794,101,97,101,35,110,42,0,0,1,0,0,15,1500
"CHI","2021-22",82,1540,802,65,90,80,43,87,23,0,0,0,0,0,5,1489
"DET","2021-22",82,1799,873,108,85,124,48,102,48,0,0,3,0,0,12,1622
"DAL","2021-22",82,1612,747,106,102,114,30,104,51,0,0,1,0,0,12,1644
"LAC","2021-22",82,1528,690,94,93,90,29,99,38,0,0,8,0,0,18,1515
"MEM","2021-22",82,1620,807,112,98,119,36,81,13,0,0,3,0,0,20,1625
"LAL","2021-22",82,1654,819,78,93,96,34,78,50,0,0,2,0,0,11,1646
"IND","2021-22",82,1675,778,89,102,101,42,117,15,0,0,5,0,0,11,1575
"BOS","2022-23",82,1542,805,85,88,129,30,134,47,0,0,1,10,2,3,1567
"GSW","2022-23",82,1757,852,134,98,142,31,128,38,0,0,1,9,6,14,1510
"PHI","2022-23",82,1675,883,81,66,117,58,58,42,0,0,1,8,3,17,1607
"MIN","2022-23",82,1768,918,108,95,121,41,132,27,0,0,1,6,3,12,1653
"NYK","2022-23",82,1666,857,135,109,103,45,125,34,0,0,1,10,6,6,1694
"POR","2022-23",82,1643,881,80,114,115,53,99,44,0,0,0,8,6,9,1677
"NOP","2022-23",82,1678,897,104,88,145,49,83,50,0,0,0,3,11,11,1671
"SAC","2022-23",82,1616,856,119,96,107,31,141,56,0,0,3,2,7,16,1709
"OKC","2022-23",82,1722,922,94,75,85,43,163,118,0,0,2,2,6,21,1674
"ATL","2022-23",82,1541,879,93,77,96,24,113,49,0,0,1,7,12,12,1610
"DEN","2022-23",82,1525,850,77,106,111,34,110,22,0,0,1,11,9,14,1600
"LAL","2022-23",82,1466,793,76,103,97,47,106,60,0,0,1,3,8,17,1759
"MIA","2022-23",82,1516,805,99,107,110,34,95,90,0,0,0,7,2,11,1642
"IND","2022-23",82,1741,910,88,128,123,41,100,56,0,0,1,9,7,14,1659
"CHI","2022-23",82,1551,819,65,94,85,49,114,50,0,0,0,8,7,11,1537
"LAC","2022-23",82,1598,847,77,109,117,34,85,16,0,0,0,5,6,18,1606
"TOR","2022-23",82,1641,838,104,111,104,56,102,32,0,0,0,6,11,21,1602
"WAS","2022-23",82,1539,862,76,95,120,55,82,29,0,0,1,8,10,12,1590
"DET","2022-23",82,1813,925,101,114,122,44,122,27,0,0,2,6,12,12,1716
"CHA","2022-23",82,1661,861,83,96,136,40,135,10,0,0,1,9,9,10,1666
"DAL","2022-23",82,1697,909,111,121,129,33,134,40,0,0,0,10,4,16,1786
"BKN","2022-23",82,1730,893,93,77,122,28,126,19,0,0,0,4,9,8,1516
"PHX","2022-23",82,1739,936,100,100,138,22,171,23,0,0,2,7,12,8,1628
"SAS","2022-23",82,1630,940,97,81,114,43,114,39,0,0,0,8,4,7,1515
"UTA","2022-23",82,1679,902,86,98,143,45,128,28,0,0,2,7,7,14,1678
"HOU","2022-23",82,1679,894,108,91,116,45,96,40,0,0,1,6,7,8,1689
"ORL","2022-23",82,1652,852,99,100,108,52,107,42,0,0,1,5,6,24,1677
"CLE","2022-23",82,1560,802,95,75,83,24,162,51,0,0,0,11,5,23,1673
"MIL","2022-23",82,1481,779,91,74,129,46,108,14,0,0,0,11,3,22,1557
"MEM","2022-23",82,1643,856,142,115,131,42,125,26,0,0,1,6,12,11,1643
"GSW","2021-22",82,1723,814,124,103,122,35,84,31,0,0,3,0,0,13,1473
"CHI","2024-25",82,1444,838,88,81,57,27,59,12,0,0,2,5,2,3,1374
"DEN","2024-25",82,1444,820,70,90,72,37,43,11,0,0,3,7,6,3,1562
"OKC","2024-25",82,1631,890,133,76,66,19,126,63,0,0,0,3,7,10,1485
"WAS","2024-25",82,1618,867,70,100,100,21,76,21,0,0,2,5,4,15,1489
"DEN","2023-24",82,1489,846,62,88,86,47,50,16,0,0,0,7,9,16,1465
"GSW","2023-24",82,1598,844,115,91,115,23,72,80,0,0,0,2,5,18,1471
"PHX","2023-24",82,1475,774,91,104,99,35,88,22,0,0,1,7,7,25,1611
"MIA","2023-24",82,1415,753,96,94,79,24,80,40,0,0,0,2,3,18,1549
"ATL","2023-24",82,1522,809,101,77,85,22,111,52,0,0,0,12,3,23,1593
"CHI","2023-24",82,1541,796,89,88,66,33,104,37,0,0,1,4,3,25,1538
"LAC","2023-24",82,1519,773,93,79,97,34,68,22,0,0,2,9,4,13,1536
"LAL","2023-24",82,1283,719,64,91,85,33,93,33,0,0,1,6,4,18,1618
"MIN","2023-24",82,1544,789,103,101,99,39,111,18,0,0,1,7,7,18,1629
"NYK","2023-24",82,1447,754,99,96,84,44,97,51,0,0,0,3,4,15,1565
"IND","2023-24",82,1756,968,80,91,112,38,123,24,0,0,0,1,7,13,1500
"POR","2023-24",82,1654,892,119,88,90,48,113,32,0,0,0,5,2,26,1467
"MEM","2023-24",82,1563,796,91,123,116,29,124,39,0,0,0,5,9,21,1539
"CHA","2023-24",82,1472,791,85,76,128,18,111,51,0,0,0,2,3,19,1432
"SAC","2023-24",82,1632,835,82,98,97,22,98,33,0,0,2,6,5,18,1504
"DAL","2023-24",82,1500,813,86,106,94,22,129,56,0,0,0,5,5,25,1667
"DET","2023-24",82,1688,893,98,83,114,30,96,16,0,0,2,4,8,20,1457
"TOR","2023-24",82,1509,719,92,64,91,48,98,29,0,0,1,6,6,19,1487
"OKC","2023-24",82,1545,853,109,77,60,38,125,61,0,0,0,0,6,24,1548
"BOS","2023-24",82,1326,677,81,89,108,33,79,16,0,0,1,6,7,11,1414
"MIL","2023-24",82,1574,763,97,84,91,36,65,23,0,0,0,6,6,32,1575
"CLE","2023-24",82,1436,776,86,98,76,22,97,32,0,0,2,1,1,23,1534
"HOU","2023-24",82,1702,883,105,89,83,43,106,26,0,0,2,1,3,17,1607
